,Mpro-x0946,Mpro-x0387,Mpro-x0967,rank_score,rank,Smiles
CHEMBL2059095,-9.741162300000001,-9.40487099,-7.83615112,-8.99406147,1,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL3937948,-9.07331085,-8.56946945,-9.11389923,-8.918893176666666,2,CC(=O)NS(=O)(=O)c1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cc1
CHEMBL2059097,-9.49788761,-8.89221954,-8.36147976,-8.917195636666667,3,CNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCCN2C3=O)CC1
CHEMBL3955838,-9.26942348,-8.51635075,-8.94256783,-8.909447353333334,4,NS(=O)(=O)c1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cc1
CHEMBL2059094,-8.65120792,-9.27600574,-8.64285088,-8.856688179999999,5,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCN2C3=O)CC1
CHEMBL3900411,-9.46738815,-8.19506645,-8.73264027,-8.798364956666667,6,O=C(O)CNc1ccc(-c2cnc(N3CCOCC3)c3nc(COc4ccc5ccccc5n4)cn23)cn1
CHEMBL2059302,-9.13818836,-8.87744617,-8.30517673,-8.773603753333333,7,CNC(=O)Nc1sc2c(OC)cccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL2059301,-9.33050346,-8.07488251,-8.8943119,-8.766565956666666,8,COc1cccc2c(C(=O)N3CCC(N4CCCC5(C4)C(=O)N4CCCCN4C5=O)CC3)c(NC(N)=O)sc12
CHEMBL2059096,-9.84085369,-7.93280315,-8.48091602,-8.751524286666667,9,CCNC(=O)Nc1sc2ccccc2c1C(=O)N1CCC(N2CCCC3(C2)C(=O)N2CCCCN2C3=O)CC1
CHEMBL1684519,-8.84213924,-8.47582436,-8.90067387,-8.739545823333332,10,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5cccc(F)c5)cc34)[nH]c2c1
CHEMBL2030408,-8.60926914,-8.50146484,-9.05783272,-8.722855566666667,11,CCN1C(=O)OC2(CCCN(C3CCN(C(=O)c4c(NC(N)=O)sc5ccccc45)CC3)C2)C1=O
CHEMBL1684521,-8.73007774,-8.43368721,-8.78305149,-8.648938813333332,12,COc1cccc(S(=O)(=O)Nc2ccc3[nH]nc(-c4cc5ccc(C)cc5[nH]4)c3c2)c1
CHEMBL3904950,-8.916528699999999,-8.56473827,-8.44148922,-8.640918730000001,13,CC(=O)NS(=O)(=O)c1ccc(-c2c(/C=C/c3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cc1
CHEMBL3896000,-8.21122742,-8.31450367,-9.38594818,-8.637226423333333,14,NS(=O)(=O)c1ccc(-c2c(CCc3ccc4ccccc4n3)nc3c(N4CCOCC4)ccnn23)cc1
CHEMBL1684520,-8.66326332,-8.34994316,-8.83947468,-8.617560386666668,15,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5ccc(F)cc5)cc34)[nH]c2c1
CHEMBL397281,-8.80977631,-8.85616684,-8.15776157,-8.607901573333335,16,CN1c2ccc(S(=O)(=O)Cc3ccc(Cl)cc3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL2030573,-8.93436432,-8.71107006,-8.0840435,-8.576492626666667,17,CNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCC[C@@]3(C2)CC(C)(C)OC3=O)CC1
CHEMBL1684518,-8.648036,-8.26776218,-8.6937418,-8.536513326666666,18,Cc1ccc2cc(-c3n[nH]c4ccc(NS(=O)(=O)c5ccccc5F)cc34)[nH]c2c1
CHEMBL397511,-8.5387516,-8.41214943,-8.60522652,-8.518709183333334,19,CN1c2ccc(S(=O)(=O)Nc3ccc(OC(F)(F)F)cc3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL244565,-8.88064861,-7.59510994,-9.00141525,-8.492391266666667,20,CN1c2ccc(S(=O)(=O)N3CCOCC3)cc2N=C(c2ccc(C(=O)O)cc2)c2cc3c(cc21)C(C)(C)CCC3(C)C
CHEMBL2030570,-8.70711231,-8.38007355,-8.34537697,-8.477520943333333,21,CCNC(=O)Nc1sc2nc(C)ccc2c1C(=O)N1CCC(N2CCCC3(C2)CC(C)(C)OC3=O)CC1
