,Mpro-x0397,Mpro-x0387,Mpro-x0946,Mpro-x0540,Mpro-x1249,Mpro-x0426,Mpro-x0305,Mpro-x1093,Mpro-x0104,Mpro-x0991,Mpro-x0967,Mpro-x0995,Mpro-x1077,Mpro-x0395,Mpro-x0354,Mpro-x0195,Mpro-x0161,Mpro-x0072,Mpro-x0434,Mpro-x0678,Mpro-x0874,Mpro-x0107
Lopinavir,-7.17262697,-6.65619564,-7.99062586,-6.72920513,-7.27947187,-7.82658195,-7.81809759,-7.27209663,-8.02819729,-6.53544712,-8.04366779,-7.08511877,-6.98448992,-7.35346079,-7.13514376,-8.20231533,-8.85866547,-8.23037815,-6.85579062,-7.11026144,-8.45048714,-6.49879169
Atazanavir,-5.97429132,-7.41828346,-7.83879185,-6.46241856,-7.34616804,-7.55921555,-7.542593,-5.72424078,-7.8786335,-6.49454021,-6.98573065,-6.8430419,-7.6753273,-7.644629,-7.18352413,-7.83347225,-7.73587132,-6.70618629,-6.68345451,-6.47271395,-7.80560541,-6.76096869
Tipranavir,-8.79669666,-7.66267729,-7.66697454,-7.14812946,-8.16845131,-7.59999084,-7.47877502,-7.70675373,-7.43569183,-7.71216536,-7.87098837,-7.03869009,-7.12157822,-7.86559486,-7.82415247,-8.20519733,-8.08213902,-7.30742216,-7.80346632,-7.49904871,-7.51415539,-7.38507366
Darunavir,-8.47481823,-7.50642729,-7.9215579,-6.99516869,-7.82811975,-7.93429422,-8.01098156,-7.73670769,-7.88692617,-7.67664909,-7.71902609,-7.91517591,-8.05447197,-7.41188002,-7.99282694,-8.01935387,-7.88239145,-7.52972221,-8.38666153,-8.15850353,-7.8676405,-7.6710844
Saquinavir,-8.66207314,-7.34335423,-8.80443668,-7.82981443,-8.58693409,-8.26934528,-8.36249256,-8.24435711,-9.12808418,-7.16809845,-7.73961544,-8.60655117,-8.41540432,-8.79722977,-8.08744335,-8.84446526,-8.62996006,-7.92369843,-8.49315357,-9.37966347,-8.50777435,-8.64340591
Ritonavir,-6.9228158,-6.74998808,-7.68533611,-6.58834743,-6.20856762,-7.09966087,-7.3494072,-7.32588863,-7.43462706,-6.59844923,-7.71727228,-7.01340675,-7.71881676,-7.05461979,-6.48466778,-7.87515926,-7.5049715,-7.35477591,-7.55706358,-7.74909639,-7.93859529,-7.12599373
Amprenavir,-8.25490093,-6.68826103,-7.85329437,-6.54094362,-7.84076118,-7.82070017,-8.22347736,-6.86596012,-8.02193737,-7.20221996,-7.50439119,-7.53457642,-7.874825,-6.8879118,-7.38683605,-7.65790701,-7.52063036,-7.70153093,-7.75995445,-7.59774065,-8.00853825,-7.41613293
